xcoordinaat;ycoordinaat;afstand;Topo;ZN zuid oost NAP;ZN west NAP;ZN midden NAP;ZD zuid NAP;ZD zeetoegangsgeul Rotterdam NAP;ZD zeetoegangsgeul IJmuiden NAP;ZD Noordzee NAP;ZD noord NAP;WNZ zuid NAP;WNZ noord NAP;WNN n NAP;ON zuid NAP;ON oost NAP;ON noord NAP;NN waddenzee NAP;NN lemmer delfzijl nNAP;MN zuid NAP;MN noord NAP;bodemhoogte 1 meter index
193896.028;442087.527;0.000;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
193896.679;442087.075;0.792;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
193897.330;442086.624;1.585;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
193897.982;442086.172;2.377;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
193898.633;442085.721;3.170;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
193899.284;442085.269;3.962;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
193899.935;442084.818;4.755;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;7.612;NoData;NoData;NoData;NoData;NoData
193900.586;442084.366;5.547;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;7.436;NoData;NoData;NoData;NoData;NoData
193901.238;442083.915;6.340;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;7.213;NoData;NoData;NoData;NoData;NoData
193901.889;442083.463;7.132;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;7.009;NoData;NoData;NoData;NoData;NoData
193902.540;442083.012;7.924;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;6.559;NoData;NoData;NoData;NoData;NoData
193903.191;442082.560;8.717;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;6.559;NoData;NoData;NoData;NoData;NoData
193903.843;442082.109;9.509;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;6.136;NoData;NoData;NoData;NoData;NoData
193904.494;442081.657;10.302;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;5.812;NoData;NoData;NoData;NoData;NoData
193905.145;442081.206;11.094;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;5.572;NoData;NoData;NoData;NoData;NoData
193905.796;442080.754;11.887;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;4.987;NoData;NoData;NoData;NoData;NoData
193906.448;442080.303;12.679;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;4.987;NoData;NoData;NoData;NoData;NoData
193907.099;442079.851;13.472;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;4.226;NoData;NoData;NoData;NoData;NoData
193907.750;442079.400;14.264;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.799;NoData;NoData;NoData;NoData;NoData
193908.401;442078.948;15.056;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.717;NoData;NoData;NoData;NoData;NoData
193909.052;442078.497;15.849;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.415;NoData;NoData;NoData;NoData;NoData
193909.704;442078.045;16.641;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.183;NoData;NoData;NoData;NoData;NoData
193910.355;442077.594;17.434;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.183;NoData;NoData;NoData;NoData;NoData
193911.006;442077.142;18.226;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.657;NoData;NoData;NoData;NoData;NoData
193911.657;442076.691;19.019;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.404;NoData;NoData;NoData;NoData;NoData
193912.309;442076.239;19.811;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.226;NoData;NoData;NoData;NoData;NoData
193912.960;442075.788;20.604;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.075;NoData;NoData;NoData;NoData;NoData
193913.611;442075.336;21.396;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.033;NoData;NoData;NoData;NoData;NoData
193914.262;442074.885;22.188;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.003;NoData;NoData;NoData;NoData;NoData
193914.914;442074.433;22.981;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.044;NoData;NoData;NoData;NoData;NoData
193915.565;442073.982;23.773;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.167;NoData;NoData;NoData;NoData;NoData
193916.216;442073.530;24.566;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.167;NoData;NoData;NoData;NoData;NoData
